Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Serial,call,100,110,0.02,0.75,1,10000,0,0,1,2.6832798,2.683258656,26.61279384,0.0005848302448,0.0005848302448
Serial_vanilla,call,100,110,0.02,0.75,1,10000,0,0,1,0.475918184,0.475901728,26.61279384,0.0005848301405,0.0005848301405
Serial,call,100,110,0.02,0.75,1,25000,0,0,1,16.85235434,16.85234215,26.61203461,0.0001744047233,-0.0001744047233
Serial_vanilla,call,100,110,0.02,0.75,1,25000,0,0,1,3.165934204,3.165910766,26.61203462,0.0001743878033,-0.0001743878033
Serial,call,100,110,0.02,0.75,1,50000,0,0,1,66.8907294,66.89071292,26.61227422,6.521374351e-05,6.521374351e-05
Serial_vanilla,call,100,110,0.02,0.75,1,50000,0,0,1,12.53637367,12.53636103,26.61227416,6.515102378e-05,6.515102378e-05
Serial,call,100,110,0.02,0.75,1,75000,0,0,1,151.5043584,151.5043269,26.61231947,0.0001104580644,0.0001104580644
Serial_vanilla,call,100,110,0.02,0.75,1,75000,0,0,1,27.91550691,27.91547017,26.61231958,0.0001105703948,0.0001105703948
Serial,call,100,110,0.02,0.75,1,100000,0,0,1,267.0007444,267.0007228,26.61220901,4.005105581e-09,4.005105581e-09
Serial_vanilla,call,100,110,0.02,0.75,1,100000,0,0,1,48.52755885,48.52754227,26.61220901,5.771347844e-10,5.771347844e-10
OMP,call,100,110,0.02,0.75,1,10000,0,1,1,2.61277239,2.612742702,26.61279384,0.0005848302448,0.0005848302448
OMP,call,100,110,0.02,0.75,1,10000,0,5,1,0.681190564,0.681173533,26.61279384,0.0005848302448,0.0005848302448
OMP,call,100,110,0.02,0.75,1,10000,0,10,1,0.680353022,0.680335311,26.61279384,0.0005848302448,0.0005848302448
OMP,call,100,110,0.02,0.75,1,10000,0,25,1,0.675449111,0.675434135,26.61279384,0.0005848302448,0.0005848302448
OMP,call,100,110,0.02,0.75,1,10000,0,32,1,0.686163577,0.686138054,26.61279384,0.0005848302448,0.0005848302448
OMP,call,100,110,0.02,0.75,1,10000,0,50,1,0.669349547,0.669330972,26.61279384,0.0005848302448,0.0005848302448
OMP,call,100,110,0.02,0.75,1,10000,0,64,1,0.674395513,0.674371112,26.61279384,0.0005848302448,0.0005848302448
OMP,call,100,110,0.02,0.75,1,10000,0,100,1,0.687256052,0.687227822,26.61279384,0.0005848302448,0.0005848302448
OMP,call,100,110,0.02,0.75,1,10000,0,125,1,0.674571885,0.674552264,26.61279384,0.0005848302448,0.0005848302448
OMP,call,100,110,0.02,0.75,1,25000,0,1,1,16.37998879,16.37997096,26.61203461,0.0001744047233,-0.0001744047233
OMP,call,100,110,0.02,0.75,1,25000,0,5,1,3.846427754,3.846408903,26.61203461,0.0001744047233,-0.0001744047233
OMP,call,100,110,0.02,0.75,1,25000,0,10,1,2.160926152,2.160906636,26.61203461,0.0001744047233,-0.0001744047233
OMP,call,100,110,0.02,0.75,1,25000,0,25,1,1.752575349,1.752559129,26.61203461,0.0001744047233,-0.0001744047233
OMP,call,100,110,0.02,0.75,1,25000,0,32,1,1.741243113,1.741212338,26.61203461,0.0001744047233,-0.0001744047233
OMP,call,100,110,0.02,0.75,1,25000,0,50,1,1.726225146,1.726211785,26.61203461,0.0001744047233,-0.0001744047233
OMP,call,100,110,0.02,0.75,1,25000,0,64,1,1.719556654,1.719538213,26.61203461,0.0001744047233,-0.0001744047233
OMP,call,100,110,0.02,0.75,1,25000,0,100,1,1.763177653,1.763165379,26.61203461,0.0001744047233,-0.0001744047233
OMP,call,100,110,0.02,0.75,1,25000,0,125,1,1.743332821,1.743320399,26.61203461,0.0001744047233,-0.0001744047233
OMP,call,100,110,0.02,0.75,1,50000,0,1,1,65.18596251,65.18594112,26.61227422,6.521374351e-05,6.521374351e-05
OMP,call,100,110,0.02,0.75,1,50000,0,5,1,13.30749314,13.3074746,26.61227422,6.521374351e-05,6.521374351e-05
OMP,call,100,110,0.02,0.75,1,50000,0,10,1,7.683699317,7.683686736,26.61227422,6.521374351e-05,6.521374351e-05
OMP,call,100,110,0.02,0.75,1,50000,0,25,1,3.572107134,3.572086239,26.61227422,6.521374351e-05,6.521374351e-05
OMP,call,100,110,0.02,0.75,1,50000,0,32,1,3.588165582,3.588139707,26.61227422,6.521374351e-05,6.521374351e-05
OMP,call,100,110,0.02,0.75,1,50000,0,50,1,3.535627628,3.535594298,26.61227422,6.521374351e-05,6.521374351e-05
OMP,call,100,110,0.02,0.75,1,50000,0,64,1,3.606926557,3.606911551,26.61227422,6.521374351e-05,6.521374351e-05
OMP,call,100,110,0.02,0.75,1,50000,0,100,1,3.60977448,3.609751449,26.61227422,6.521374351e-05,6.521374351e-05
OMP,call,100,110,0.02,0.75,1,50000,0,125,1,3.613240663,3.613219941,26.61227422,6.521374351e-05,6.521374351e-05
OMP,call,100,110,0.02,0.75,1,75000,0,1,1,146.2149452,146.2149347,26.61231947,0.0001104580644,0.0001104580644
OMP,call,100,110,0.02,0.75,1,75000,0,5,1,31.02812229,31.02810362,26.61231947,0.0001104580644,0.0001104580644
OMP,call,100,110,0.02,0.75,1,75000,0,10,1,15.65531452,15.65530264,26.61231947,0.0001104580644,0.0001104580644
