Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Serial,call,100,110,0.02,0.75,1,10000,200,0,1,0.371444552,0.371379041,25.3169576,1.296203606,-1.296203606
Serial,call,100,110,0.02,0.75,1,80000,200,0,1,3.147158757,3.147118669,26.3560676,0.2570936058,-0.2570936058
Serial,call,100,110,0.02,0.75,1,100000,200,0,1,3.978888405,3.978867939,26.49627366,0.1168875521,-0.1168875521
Serial,call,100,110,0.02,0.75,1,160000,200,0,1,6.619863478,6.619824367,26.57338296,0.03977824566,-0.03977824566
Serial,call,100,110,0.02,0.75,1,320000,200,0,1,13.28424113,13.28420855,26.52086965,0.09229155942,-0.09229155942
Serial,call,100,110,0.02,0.75,1,640000,200,0,1,26.74474918,26.74470868,26.37128762,0.241873589,-0.241873589
Serial,call,100,110,0.02,0.75,1,800000,200,0,1,32.77284524,32.77279832,26.39092796,0.2222332513,-0.2222332513
Serial,call,100,110,0.02,0.75,1,1000000,200,0,1,41.98438429,41.98436584,26.37631292,0.236848287,-0.236848287
Serial,call,100,110,0.02,0.75,1,1600000,200,0,1,67.20511125,67.20506276,26.37182873,0.2413324819,-0.2413324819
Serial,call,100,110,0.02,0.75,1,3200000,200,0,1,135.3848316,135.384799,26.39867126,0.2144899527,-0.2144899527
Serial,call,100,110,0.02,0.75,1,6400000,200,0,1,293.9287438,293.9286928,26.40822286,0.2049383504,-0.2049383504
Serial,call,100,110,0.02,0.75,1,8000000,200,0,1,368.719643,368.7196235,26.39787972,0.2152814908,-0.2152814908
Serial,call,100,110,0.02,0.75,1,10000000,200,0,1,467.9778469,467.9777979,26.41407698,0.1990842281,-0.1990842281
OMP,call,100,110,0.02,0.75,1,10000,200,1,1,0.480262507,0.480178755,26.50534391,0.1078172965,-0.1078172965
OMP,call,100,110,0.02,0.75,1,10000,200,8,1,0.397750541,0.397734437,27.2773526,0.6641913944,0.6641913944
OMP,call,100,110,0.02,0.75,1,10000,200,16,1,0.423305526,0.423263715,26.26001315,0.3531480594,-0.3531480594
OMP,call,100,110,0.02,0.75,1,10000,200,32,1,0.41023385,0.410196967,26.60460886,0.008552353865,-0.008552353865
OMP,call,100,110,0.02,0.75,1,10000,200,64,1,0.576244181,0.576227905,26.68222421,0.06906299767,0.06906299767
OMP,call,100,110,0.02,0.75,1,80000,200,1,1,3.839223445,3.839200046,26.2329574,0.3802038142,-0.3802038142
OMP,call,100,110,0.02,0.75,1,80000,200,8,1,3.171464198,3.171438686,26.52004949,0.09311172352,-0.09311172352
OMP,call,100,110,0.02,0.75,1,80000,200,16,1,3.168537752,3.168517186,26.89919651,0.2860352998,0.2860352998
OMP,call,100,110,0.02,0.75,1,80000,200,32,1,3.159076009,3.159055928,26.11350496,0.4996562491,-0.4996562491
OMP,call,100,110,0.02,0.75,1,80000,200,64,1,3.363672991,3.363657003,26.39626899,0.2168922193,-0.2168922193
OMP,call,100,110,0.02,0.75,1,100000,200,1,1,4.753051489,4.753022438,26.86949076,0.256329553,0.256329553
OMP,call,100,110,0.02,0.75,1,100000,200,8,1,3.907957962,3.907923438,26.99085936,0.3776981495,0.3776981495
OMP,call,100,110,0.02,0.75,1,100000,200,16,1,4.000839812,4.000826944,26.82829468,0.2151334734,0.2151334734
OMP,call,100,110,0.02,0.75,1,100000,200,32,1,4.271465094,4.271441304,26.54804348,0.06511772837,-0.06511772837
OMP,call,100,110,0.02,0.75,1,100000,200,64,1,4.073667184,4.073632212,26.75680185,0.1436406381,0.1436406381
OMP,call,100,110,0.02,0.75,1,160000,200,1,1,7.735452045,7.735427106,26.32126076,0.2919004464,-0.2919004464
OMP,call,100,110,0.02,0.75,1,160000,200,8,1,6.358933084,6.358917618,26.76372698,0.1505657732,0.1505657732
OMP,call,100,110,0.02,0.75,1,160000,200,16,1,6.283734361,6.283700518,26.94511421,0.3319529991,0.3319529991
OMP,call,100,110,0.02,0.75,1,160000,200,32,1,6.406212377,6.406184634,26.65604081,0.04287959973,0.04287959973
OMP,call,100,110,0.02,0.75,1,160000,200,64,1,6.730843009,6.730814749,26.60230152,0.01085968632,-0.01085968632
OMP,call,100,110,0.02,0.75,1,320000,200,1,1,15.62836687,15.62833645,26.44152224,0.1716389673,-0.1716389673
OMP,call,100,110,0.02,0.75,1,320000,200,8,1,12.947918,12.94788288,26.48475749,0.1284037223,-0.1284037223
OMP,call,100,110,0.02,0.75,1,320000,200,16,1,12.74029735,12.74023938,26.50357534,0.1095858704,-0.1095858704
OMP,call,100,110,0.02,0.75,1,320000,200,32,1,12.40422206,12.4041892,26.68936471,0.07620350498,0.07620350498
OMP,call,100,110,0.02,0.75,1,320000,200,64,1,12.59023812,12.59020262,26.60065182,0.0125093857,-0.0125093857
OMP,call,100,110,0.02,0.75,1,640000,200,1,1,31.73923769,31.73920521,26.51776628,0.09539493179,-0.09539493179
OMP,call,100,110,0.02,0.75,1,640000,200,8,1,26.32593433,26.32588065,26.64074819,0.02758697951,0.02758697951
OMP,call,100,110,0.02,0.75,1,640000,200,16,1,25.86730134,25.86725472,26.64753456,0.03437335395,0.03437335395
OMP,call,100,110,0.02,0.75,1,640000,200,32,1,24.23682401,24.23678804,26.64373628,0.03057507285,0.03057507285
OMP,call,100,110,0.02,0.75,1,640000,200,64,1,25.53716766,25.53712836,26.81865019,0.2054889778,0.2054889778
OMP,call,100,110,0.02,0.75,1,800000,200,1,1,38.37951128,38.3794837,26.61426123,0.001100020392,0.001100020392
OMP,call,100,110,0.02,0.75,1,800000,200,8,1,32.22974379,32.22970911,26.66968001,0.056518797,0.056518797
OMP,call,100,110,0.02,0.75,1,800000,200,16,1,31.41163285,31.41161625,26.60251304,0.01064816593,-0.01064816593
OMP,call,100,110,0.02,0.75,1,800000,200,32,1,30.1121065,30.11207758,26.57323278,0.03992843217,-0.03992843217
OMP,call,100,110,0.02,0.75,1,800000,200,64,1,31.13612877,31.13611105,26.63488621,0.02172500362,0.02172500362
OMP,call,100,110,0.02,0.75,1,1000000,200,1,1,48.95502227,48.95497173,26.58559111,0.02757010201,-0.02757010201
OMP,call,100,110,0.02,0.75,1,1000000,200,8,1,41.08257842,41.08253705,26.50209335,0.1110678564,-0.1110678564
OMP,call,100,110,0.02,0.75,1,1000000,200,16,1,39.95547364,39.95544932,26.63408471,0.02092349535,0.02092349535
OMP,call,100,110,0.02,0.75,1,1000000,200,32,1,40.12700392,40.12698912,26.64057408,0.02741286504,0.02741286504
OMP,call,100,110,0.02,0.75,1,1000000,200,64,1,40.98951345,40.98948477,26.63051633,0.0173551175,0.0173551175
OMP,call,100,110,0.02,0.75,1,1600000,200,1,1,81.58027945,81.58022806,26.60905362,0.004107589252,-0.004107589252
OMP,call,100,110,0.02,0.75,1,1600000,200,8,1,67.34398316,67.34393156,26.59696087,0.01620033548,-0.01620033548
